postcode,lat,long
BT283AF,54.513839,-6.051187
BT283AZ,54.530035,-6.15252
BT283EP,54.523232,-6.067097
BT283GB,54.530035,-6.15252
BT283HN,54.526761,-6.077713
BT283LX,54.521277,-6.058911
BT283QQ,54.527654,-6.080204
BT283TE,54.57065,-6.087771
BT283YD,54.530035,-6.15252
BT283ZJ,54.521331,-6.058653
BT28BA,54.593568,-5.929337
BT28GD,54.593429,-5.928075
BT28HB,54.5924,-5.926224
BT28HE,54.593087,-5.929052
BT28HH,54.592792,-5.927597
BT28LS,54.594516,-5.926503
BT294AN,54.630124,-6.204768
BT294AW,54.631296,-6.199017
BT294AY,54.635773,-6.211319
BT294DG,54.672214,-6.246333
BT294DL,54.663005,-6.233959
BT294GH,54.59012,-6.211139
BT294HX,54.607781,-6.123162
BT294JN,54.615427,-6.121432
BT294TW,54.633912,-6.088396
BT294UW,54.640475,-6.079537
BT294WB,54.620666,-6.227526
BT294WD,54.605431,-6.184387
BT294XG,54.621118,-6.219765
BT294XW,54.621851,-6.214639
BT294ZG,54.66302,-6.219017
BT294ZY,54.66302,-6.219017
BT306AL,54.328085,-5.716034
BT306DS,54.325504,-5.714962
BT306EJ,54.331262,-5.715811
BT306ER,54.332191,-5.715068
BT306FH,54.335842,-5.717562
BT306GZ,54.318154,-5.704595
BT306JN,54.327926,-5.702913
BT306LR,54.32748,-5.717804
BT306NA,54.332805,-5.708576
BT306NF,54.324618,-5.716134
BT306SU,54.337067,-5.687549
BT306WR,54.31841,-5.726658
BT307AJ,54.330851,-5.605255
BT307BA,54.358771,-5.579152
BT307BH,54.343113,-5.641085
BT307BU,54.346672,-5.634498
BT307BY,54.322255,-5.662466
BT307DT,54.311715,-5.662246
BT307GY,54.346672,-5.634498
BT307HP,54.319045,-5.542351
BT307HQ,54.292035,-5.673807
BT307NE,54.371352,-5.555556
BT307PS,54.303497,-5.554234
BT307SJ,54.272072,-5.599777
BT307UD,54.256729,-5.607698
BT307WH,54.346672,-5.634498
BT308BL,54.307315,-5.701665
BT308HR,54.286954,-5.766245
BT308RR,54.297136,-5.882292
BT309AX,54.342857,-5.727395
BT309BD,54.366711,-5.737311
BT309EN,54.392028,-5.758706
BT309EY,54.397531,-5.753124
BT309HW,54.386438,-5.771281
BT309LD,54.399795,-5.717178
BT309LS,54.445403,-5.695275
BT309QA,54.402496,-5.654203
BT309QH,54.399582,-5.651289
BT309TF,54.408282,-5.695649
BT309UB,54.377616,-5.682175
BT319BL,54.279686,-5.944563
BT319DF,54.258302,-5.941468
BT319DQ,54.257756,-5.943153
BT319DU,54.257326,-5.940642
BT319DX,54.258249,-5.942561
BT319FD,54.256837,-5.937751
BT319GJ,54.324448,-5.897983
BT319LB,54.296758,-5.926707
BT319LR,54.288387,-5.941027
BT319NZ,54.320456,-5.891162
BT319QA,54.296913,-6.079777
BT319QN,54.311499,-6.115316
BT319RQ,54.265583,-5.92594
BT319UP,54.284335,-6.005176
BT319UZ,54.266517,-5.934048
BT323AB,54.349966,-6.273961
BT323DD,54.34914,-6.272058
BT323FT,54.347433,-6.271484
BT323FW,54.338803,-6.239666
BT323GE,54.343838,-6.284598
BT323GN,54.352806,-6.274627
BT323HJ,54.343322,-6.27424
BT323HU,54.341813,-6.278086
BT323JG,54.346804,-6.274001
BT323JU,54.350597,-6.269059
BT323LP,54.346448,-6.267311
BT323LQ,54.347131,-6.267974
BT323PA,54.286134,-6.313626
BT323PB,54.275042,-6.308215
BT323PQ,54.295037,-6.321296
BT324AB,54.353159,-6.264737
BT324AF,54.355002,-6.268628
BT324BG,54.350393,-6.261762
BT324DA,54.353574,-6.264242
BT324DG,54.354185,-6.264263
BT324DY,54.36566,-6.2451
BT324JN,54.354046,-6.242857
BT324QZ,54.338803,-6.239666
BT324RZ,54.338619,-6.252172
BT325AX,54.307732,-6.208862
BT325DF,54.263769,-6.25419
BT325DH,54.338803,-6.239666
BT325DL,54.277459,-6.25031
BT325JT,54.325924,-6.236755
BT325JX,54.323423,-6.247022
BT325LA,54.311642,-6.256773
BT325LF,54.326655,-6.208312
BT325PB,54.305503,-6.14234
BT325PE,54.321364,-6.138996
BT325PW,54.33496,-6.121116
BT325QB,54.320325,-6.149111
BT330AL,54.214551,-5.887994
BT330DJ,54.208455,-5.891846
BT330EB,54.211816,-5.891889
BT330GL,54.223589,-5.884343
BT330HA,54.195189,-5.883986
BT330JH,54.22431,-5.902432
BT330LP,54.220902,-5.884818
BT330QW,54.22158,-5.887068
BT330UB,54.218438,-5.904769
BT330WT,54.260219,-5.852093
BT330YE,54.211612,-5.903351
BT341BY,54.186939,-6.316749
BT341EF,54.185038,-6.332528
BT341EW,54.178824,-6.333391
BT341JZ,54.185442,-6.322784
BT341NE,54.242176,-6.300571
BT341RZ,54.267256,-6.281165
BT341UF,54.145311,-6.166383
BT342AN,54.17764,-6.329012
BT342AZ,54.179566,-6.326683
BT342BL,54.173516,-6.338091
BT342DG,54.171575,-6.338108
